n_components,accuracy
2,0.61904761904761907
8,0.60317460317460314
14,0.66666666666666663
20,0.60317460317460314
26,0.58730158730158732
32,0.5714285714285714
38,0.60317460317460314
44,0.61904761904761907
50,0.61904761904761907
56,0.58730158730158732
62,0.66666666666666663
68,0.7142857142857143
74,0.5714285714285714
80,0.5714285714285714
86,0.69841269841269837
92,0.60317460317460314
98,0.58730158730158732
104,0.66666666666666663
110,0.61904761904761907
116,0.66666666666666663
122,0.68253968253968256
128,0.60317460317460314
134,0.66666666666666663
140,0.61904761904761907
146,0.69841269841269837
152,0.60317460317460314
158,0.58730158730158732
164,0.58730158730158732
170,0.55555555555555558
176,0.5714285714285714
182,0.61904761904761907
188,0.46031746031746029
194,0.46031746031746029
200,0.44444444444444442
206,0.46031746031746029
212,0.46031746031746029
218,0.46031746031746029
224,0.46031746031746029
230,0.46031746031746029
236,0.46031746031746029
242,0.46031746031746029
248,0.46031746031746029
254,0.46031746031746029
260,0.46031746031746029
266,0.41269841269841268
272,0.46031746031746029
278,0.46031746031746029
284,0.55555555555555558
290,0.46031746031746029
296,0.46031746031746029
