n_components,accuracy
2,0.712
8,0.712
14,0.68
20,0.72
26,0.664
32,0.688
38,0.64
44,0.64
50,0.656
56,0.704
62,0.704
68,0.712
74,0.672
80,0.728
86,0.672
92,0.696
98,0.656
104,0.552
110,0.64
116,0.64
122,0.512
128,0.6
134,0.416
140,0.512
146,0.52
152,0.544
158,0.472
164,0.52
170,0.544
176,0.512
182,0.48
188,0.44
194,0.448
200,0.56
206,0.448
212,0.488
218,0.424
224,0.52
230,0.416
236,0.504
242,0.552
248,0.52
254,0.536
260,0.536
266,0.472
272,0.472
278,0.488
284,0.44
290,0.456
296,0.48
