n_components,accuracy
2,0.93388429752066116
4,0.9173553719008265
6,0.93388429752066116
8,0.94214876033057848
10,0.94214876033057848
12,0.94214876033057848
14,0.93388429752066116
16,0.95041322314049592
18,0.93388429752066116
20,0.95041322314049592
22,0.93388429752066116
24,0.94214876033057848
26,0.94214876033057848
28,0.92561983471074383
30,0.92561983471074383
32,0.92561983471074383
34,0.93388429752066116
36,0.9173553719008265
38,0.94214876033057848
40,0.94214876033057848
42,0.94214876033057848
44,0.93388429752066116
46,0.93388429752066116
48,0.94214876033057848
50,0.95041322314049592
52,0.92561983471074383
54,0.93388429752066116
56,0.93388429752066116
58,0.92561983471074383
60,0.94214876033057848
62,0.94214876033057848
64,0.92561983471074383
66,0.94214876033057848
68,0.93388429752066116
70,0.93388429752066116
72,0.94214876033057848
74,0.93388429752066116
76,0.92561983471074383
78,0.92561983471074383
80,0.92561983471074383
82,0.93388429752066116
84,0.94214876033057848
86,0.92561983471074383
88,0.93388429752066116
90,0.93388429752066116
92,0.93388429752066116
94,0.93388429752066116
96,0.94214876033057848
98,0.93388429752066116
