n_components,accuracy
2,0.6333333333333333
4,0.68333333333333335
6,0.66666666666666663
8,0.5
10,0.69999999999999996
12,0.5
14,0.66666666666666663
16,0.71666666666666667
18,0.69999999999999996
20,0.66666666666666663
22,0.71666666666666667
24,0.59999999999999998
26,0.5
28,0.5
30,0.5
32,0.5
34,0.5
36,0.71666666666666667
38,0.5
40,0.65000000000000002
42,0.6333333333333333
44,0.5
46,0.66666666666666663
48,0.65000000000000002
50,0.5
52,0.6333333333333333
54,0.75
56,0.5
58,0.5
60,0.69999999999999996
62,0.5
64,0.5
66,0.5
68,0.5
70,0.5
72,0.5
74,0.5
76,0.5
78,0.5
80,0.5
82,0.5
84,0.69999999999999996
86,0.5
88,0.5
90,0.5
92,0.58333333333333337
94,0.5
96,0.5
98,0.6166666666666667
100,0.5
102,0.5
104,0.5
106,0.5
108,0.5
110,0.5
112,0.5
114,0.5
116,0.5
118,0.5
120,0.5
122,0.5
124,0.5
126,0.5
128,0.5
130,0.5
132,0.5
134,0.65000000000000002
136,0.5
138,0.51666666666666672
140,0.5
142,0.68333333333333335
144,0.5
146,0.5
148,0.5
150,0.5
152,0.66666666666666663
154,0.65000000000000002
156,0.56666666666666665
158,0.53333333333333333
160,0.56666666666666665
162,0.56666666666666665
164,0.55000000000000004
166,0.56666666666666665
168,0.55000000000000004
170,0.55000000000000004
172,0.56666666666666665
174,0.59999999999999998
176,0.51666666666666672
178,0.58333333333333337
180,0.58333333333333337
182,0.59999999999999998
184,0.51666666666666672
186,0.56666666666666665
188,0.5
190,0.46666666666666667
192,0.56666666666666665
194,0.5
196,0.5
198,0.5
200,0.5
202,0.5
204,0.45000000000000001
206,0.5
208,0.51666666666666672
210,0.53333333333333333
212,0.55000000000000004
214,0.5
216,0.5
218,0.59999999999999998
220,0.5
222,0.5
224,0.5
226,0.55000000000000004
228,0.45000000000000001
230,0.5
232,0.5
234,0.45000000000000001
236,0.5
238,0.45000000000000001
240,0.5
242,0.5
244,0.48333333333333334
246,0.5
248,0.5
250,0.5
252,0.6333333333333333
254,0.53333333333333333
256,0.5
258,0.46666666666666667
260,0.6333333333333333
262,0.5
264,0.5
266,0.5
268,0.53333333333333333
270,0.36666666666666664
272,0.5
274,0.6333333333333333
276,0.45000000000000001
278,0.48333333333333334
280,0.5
282,0.5
284,0.5
286,0.46666666666666667
288,0.58333333333333337
290,0.43333333333333335
292,0.5
294,0.56666666666666665
